Extracted:,United Nations High Commissioner for Refugees
Date extracted:,14/02/2020 12:50:01
Last updated:,14/02/2020 12:50:01

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019"
2019 data (if included) as of:, December 2019
Country of origin:,"IRQ,SYR"
Country of asylum:,"DZA,BHR,EGY,IRQ,ISR,JOR,KWT,LBN,LBY,MRT,MAR,OMN,QAT,SAU,PSE,SYR,TUN,ARE,YEM"
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",16
2008,IRQ,"Iraq",JOR,"Jordan",NZL,"New Zealand",17
2008,SYR,"Syrian Arab Rep.",LBN,"Lebanon",USA,"United States of America",5
2008,IRQ,"Iraq",LBN,"Lebanon",FRA,"France",34
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NOR,"Norway",140
2008,IRQ,"Iraq",JOR,"Jordan",ESP,"Spain",1
2008,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",USA,"United States of America",2
2008,IRQ,"Iraq",EGY,"Egypt",NOR,"Norway",5
2008,IRQ,"Iraq",KWT,"Kuwait",USA,"United States of America",20
2008,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",288
2008,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",56
2008,SYR,"Syrian Arab Rep.",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",8
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",567
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NLD,"Netherlands",17
2008,IRQ,"Iraq",JOR,"Jordan",NOR,"Norway",2
2009,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",571
2009,IRQ,"Iraq",YEM,"Yemen",NOR,"Norway",6
2009,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",64
2009,IRQ,"Iraq",JOR,"Jordan",IRL,"Ireland",4
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",945
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NLD,"Netherlands",83
2009,IRQ,"Iraq",JOR,"Jordan",NOR,"Norway",3
2009,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",511
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",375
2009,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",53
2009,IRQ,"Iraq",LBY,"Libya",SWE,"Sweden",2
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",DNK,"Denmark",10
2009,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NOR,"Norway",1
2009,IRQ,"Iraq",YEM,"Yemen",SWE,"Sweden",5
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",FRA,"France",12
2009,IRQ,"Iraq",JOR,"Jordan",NLD,"Netherlands",5
2009,IRQ,"Iraq",ARE,"United Arab Emirates",USA,"United States of America",37
2009,IRQ,"Iraq",ARE,"United Arab Emirates",CAN,"Canada",1
2009,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",AUS,"Australia",1
2009,IRQ,"Iraq",EGY,"Egypt",CAN,"Canada",83
2009,IRQ,"Iraq",JOR,"Jordan",FRA,"France",6
2009,SYR,"Syrian Arab Rep.",JOR,"Jordan",USA,"United States of America",5
2009,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",158
2009,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",352
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",BEL,"Belgium",37
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",IRL,"Ireland",3
2009,IRQ,"Iraq",JOR,"Jordan",DNK,"Denmark",8
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NZL,"New Zealand",14
2009,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",2244
2009,IRQ,"Iraq",KWT,"Kuwait",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",DEU,"Germany",1725
2009,IRQ,"Iraq",LBN,"Lebanon",DNK,"Denmark",8
2009,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",USA,"United States of America",7
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",ITA,"Italy",124
2009,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",302
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",FIN,"Finland",266
2009,IRQ,"Iraq",JOR,"Jordan",LUX,"Luxembourg",3
2009,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",3
2009,IRQ,"Iraq",JOR,"Jordan",BEL,"Belgium",5
2009,IRQ,"Iraq",YEM,"Yemen",USA,"United States of America",111
2009,SYR,"Syrian Arab Rep.",LBN,"Lebanon",SWE,"Sweden",3
2009,IRQ,"Iraq",JOR,"Jordan",SWE,"Sweden",141
2009,IRQ,"Iraq",EGY,"Egypt",NLD,"Netherlands",2
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",LUX,"Luxembourg",25
2009,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",3729
2009,SYR,"Syrian Arab Rep.",JOR,"Jordan",CAN,"Canada",3
2009,IRQ,"Iraq",EGY,"Egypt",USA,"United States of America",273
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",5769
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",102
2009,IRQ,"Iraq",TUN,"Tunisia",FRA,"France",5
2009,IRQ,"Iraq",JOR,"Jordan",NZL,"New Zealand",1
2009,SYR,"Syrian Arab Rep.",LBN,"Lebanon",USA,"United States of America",18
2009,IRQ,"Iraq",JOR,"Jordan",DEU,"Germany",335
2009,IRQ,"Iraq",YEM,"Yemen",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2009,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",CAN,"Canada",1
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NOR,"Norway",182
2009,IRQ,"Iraq",ISR,"Israel",USA,"United States of America",4
2009,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",DEU,"Germany",1
2009,IRQ,"Iraq",EGY,"Egypt",NOR,"Norway",11
2009,IRQ,"Iraq",KWT,"Kuwait",USA,"United States of America",15
2010,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",FIN,"Finland",1
2010,IRQ,"Iraq",KWT,"Kuwait",USA,"United States of America",33
2010,SYR,"Syrian Arab Rep.",LBN,"Lebanon",CAN,"Canada",7
2010,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",221
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NLD,"Netherlands",42
2010,IRQ,"Iraq",ARE,"United Arab Emirates",AUS,"Australia",3
2010,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",93
2010,SYR,"Syrian Arab Rep.",IRQ,"Iraq",USA,"United States of America",1
2010,IRQ,"Iraq",JOR,"Jordan",IRL,"Ireland",6
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",1109
2010,IRQ,"Iraq",JOR,"Jordan",NOR,"Norway",1
2010,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",IRL,"Ireland",1
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",124
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",89
2010,IRQ,"Iraq",LBN,"Lebanon",NOR,"Norway",7
2010,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",14
2010,IRQ,"Iraq",LBY,"Libya",SWE,"Sweden",4
2010,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",NOR,"Norway",1
2010,IRQ,"Iraq",LBN,"Lebanon",NLD,"Netherlands",78
2010,IRQ,"Iraq",YEM,"Yemen",SWE,"Sweden",5
2010,IRQ,"Iraq",BHR,"Bahrain",USA,"United States of America",36
2010,IRQ,"Iraq",EGY,"Egypt",SWE,"Sweden",3
2010,SYR,"Syrian Arab Rep.",EGY,"Egypt",USA,"United States of America",1
2010,IRQ,"Iraq",LBN,"Lebanon",DNK,"Denmark",1
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",PRT,"Portugal",13
2010,IRQ,"Iraq",ARE,"United Arab Emirates",USA,"United States of America",103
2010,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",337
2010,IRQ,"Iraq",EGY,"Egypt",CAN,"Canada",57
2010,IRQ,"Iraq",JOR,"Jordan",FRA,"France",10
2010,SYR,"Syrian Arab Rep.",JOR,"Jordan",USA,"United States of America",1
2010,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",116
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",IRL,"Ireland",10
2010,SYR,"Syrian Arab Rep.",IRQ,"Iraq",SWE,"Sweden",10
2010,IRQ,"Iraq",JOR,"Jordan",DNK,"Denmark",5
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NZL,"New Zealand",5
2010,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",1610
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",DEU,"Germany",329
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",6
2010,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",USA,"United States of America",16
2010,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",276
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",FIN,"Finland",128
2010,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2010,IRQ,"Iraq",YEM,"Yemen",USA,"United States of America",35
2010,SYR,"Syrian Arab Rep.",LBN,"Lebanon",SWE,"Sweden",25
2010,IRQ,"Iraq",ARE,"United Arab Emirates",SWE,"Sweden",3
2010,IRQ,"Iraq",JOR,"Jordan",SWE,"Sweden",23
2010,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",2367
2010,IRQ,"Iraq",LBY,"Libya",CHE,"Switzerland",2
