Year,Country_of_Origin_ISO,Country_of_Origin,Country_of_Resettlement_ISO,Country_of_Resettlement,Female_0_17,Female_18_59,Female_60_plus,Female_unknown_age,Female_Total,Male_0_17,Male_18_59,Male_60_plus,Male_unknown_age,Male_Total,Other_Unknown,Grand_Total
2019,IRQ,"Iraq",FRA,"France",0,0,0,0,0,0,1,0,0,1,0,1
2019,SYR,"Syrian Arab Rep.",ARG,"Argentina",2,0,0,0,2,3,0,0,0,3,0,5
2019,SYR,"Syrian Arab Rep.",NZL,"New Zealand",8,3,1,0,12,5,3,0,0,8,0,20
2019,SYR,"Syrian Arab Rep.",USA,"United States of America",115,3,0,0,118,102,4,0,0,106,0,224
2019,SYR,"Syrian Arab Rep.",ROU,"Romania",50,45,5,0,100,57,38,3,0,98,0,198
2019,SYR,"Syrian Arab Rep.",MLT,"Malta",7,4,0,0,11,3,3,0,0,6,0,17
2019,SYR,"Syrian Arab Rep.",ESP,"Spain",267,238,7,0,512,303,262,5,0,570,0,1082
2019,SYR,"Syrian Arab Rep.",FRA,"France",431,341,10,0,782,474,354,10,0,838,0,1620
2019,IRQ,"Iraq",NOR,"Norway",0,0,0,0,0,0,4,0,0,4,0,4
2019,IRQ,"Iraq",IRL,"Ireland",2,5,1,0,8,4,4,1,0,9,0,17
2019,SYR,"Syrian Arab Rep.",CAN,"Canada",1658,1351,49,0,3058,2004,1401,53,0,3458,0,6516
2019,IRQ,"Iraq",SWE,"Sweden",3,5,0,0,8,2,5,1,0,8,0,16
2019,SYR,"Syrian Arab Rep.",ITA,"Italy",114,84,3,0,201,119,88,2,0,209,0,410
2019,SYR,"Syrian Arab Rep.",CHE,"Switzerland",263,230,4,0,497,343,229,4,0,576,0,1073
2019,IRQ,"Iraq",DEU,"Germany",11,24,4,0,39,21,21,3,0,45,0,84
2019,SYR,"Syrian Arab Rep.",BEL,"Belgium",170,188,9,0,367,199,171,7,0,377,0,744
